matchId,blue_kill,red_kill,blue_gold,red_gold,blue_tower,blue_inhibitor,red_tower,red_inhibitor,blue_monster,red_monster,current_time,blue_win
4589192382,8,8,21543,22426,0,0,0,0,[],"['AIR_DRAGON', 'RIFTHERALD']",900,0
4626851008,9,9,21552,23804,0,0,0,0,['RIFTHERALD'],[],900,1
4627717313,10,12,21402,25560,-2,0,0,0,['AIR_DRAGON'],"['RIFTHERALD', 'WATER_DRAGON']",900,0
4627619011,10,9,23807,22414,0,0,0,0,[],['FIRE_DRAGON'],900,0
4609137863,6,9,20481,22979,0,0,0,0,[],"['AIR_DRAGON', 'RIFTHERALD']",900,0
4596907210,14,6,24575,22181,0,0,0,0,['AIR_DRAGON'],[],900,0
4628980966,10,17,21565,28238,-2,0,0,0,['AIR_DRAGON'],['RIFTHERALD'],900,0
4568378600,11,12,25888,23606,0,0,-1,0,"['FIRE_DRAGON', 'RIFTHERALD']",[],900,1
4618050797,7,9,21938,23761,0,0,0,0,"['WATER_DRAGON', 'RIFTHERALD']",['EARTH_DRAGON'],900,0
4609066227,12,10,22585,25396,-1,0,0,0,[],"['FIRE_DRAGON', 'RIFTHERALD']",900,0
4617920516,10,6,24921,21879,0,0,-1,0,"['RIFTHERALD', 'FIRE_DRAGON']",[],900,1
4604879365,15,12,25859,24567,0,0,0,0,[],['FIRE_DRAGON'],900,0
4568462341,10,9,26378,22940,0,0,-1,0,['RIFTHERALD'],['AIR_DRAGON'],900,0
4594341383,7,19,21894,28939,-2,0,0,0,[],"['AIR_DRAGON', 'RIFTHERALD']",900,0
4626031115,6,5,23012,21121,0,0,0,0,"['AIR_DRAGON', 'RIFTHERALD']",['EARTH_DRAGON'],900,0
4615861260,7,13,22913,26671,-1,0,0,0,[],"['RIFTHERALD', 'FIRE_DRAGON']",900,1
4560760332,12,9,25343,21561,0,0,0,0,"['WATER_DRAGON', 'RIFTHERALD']",['AIR_DRAGON'],900,1
4626767886,16,3,30152,16911,0,0,-3,0,"['EARTH_DRAGON', 'RIFTHERALD']",[],900,1
4584429583,8,17,22929,29701,-3,0,0,0,['FIRE_DRAGON'],['RIFTHERALD'],900,0
4610778641,6,8,21033,22640,0,0,0,0,[],"['FIRE_DRAGON', 'RIFTHERALD']",900,0
4590221334,15,10,25978,23334,0,0,0,0,['AIR_DRAGON'],[],900,1
4618042392,12,4,23715,19622,0,0,0,0,['FIRE_DRAGON'],[],900,1
4619074585,11,15,22642,25757,0,0,0,0,['RIFTHERALD'],"['FIRE_DRAGON', 'WATER_DRAGON']",900,0
4621906969,7,9,21838,22744,0,0,0,0,[],[],900,1
4596861467,10,17,23548,29198,-2,0,0,0,['EARTH_DRAGON'],"['FIRE_DRAGON', 'RIFTHERALD']",900,0
4587265054,8,21,22277,30294,-2,0,0,0,['AIR_DRAGON'],['EARTH_DRAGON'],900,0
4604687903,7,16,22018,25122,0,0,0,0,['RIFTHERALD'],['FIRE_DRAGON'],900,0
4613319199,7,8,23026,20691,0,0,0,0,['EARTH_DRAGON'],[],900,1
4624581667,12,9,23123,23051,-1,0,0,0,[],[],900,1
4613060131,6,19,17893,32459,-8,-1,0,0,[],['FIRE_DRAGON'],900,0
4594911270,9,9,23129,23869,0,0,0,0,['AIR_DRAGON'],['RIFTHERALD'],900,0
4624441382,8,13,21787,26131,0,0,0,0,"['EARTH_DRAGON', 'FIRE_DRAGON']",['RIFTHERALD'],900,0
4612843560,14,3,25555,12573,0,0,-6,-1,"['EARTH_DRAGON', 'RIFTHERALD']",[],780,1
4620096553,9,8,22261,23175,0,0,0,0,[],"['EARTH_DRAGON', 'RIFTHERALD', 'WATER_DRAGON']",900,0
4620131879,11,16,24613,26155,-1,0,-2,0,['RIFTHERALD'],"['EARTH_DRAGON', 'WATER_DRAGON']",900,0
4593948204,8,7,22487,22389,0,0,0,0,['EARTH_DRAGON'],[],900,0
4622080046,9,10,23450,22276,0,0,-1,0,['RIFTHERALD'],['EARTH_DRAGON'],900,0
4588492335,3,3,19150,19967,0,0,0,0,[],[],900,0
4628215344,15,5,25907,20196,0,0,-1,0,"['EARTH_DRAGON', 'RIFTHERALD']",[],900,1
4584289839,12,3,30087,16293,0,0,-8,0,"['WATER_DRAGON', 'RIFTHERALD']",[],900,1
4618147891,7,11,24423,22712,0,0,-1,0,['WATER_DRAGON'],[],900,0
4625030708,15,12,25707,25400,-1,0,0,0,['WATER_DRAGON'],"['FIRE_DRAGON', 'RIFTHERALD']",900,1
4626945077,17,12,27312,22627,0,0,0,0,"['WATER_DRAGON', 'RIFTHERALD']",[],900,1
4570256438,7,8,21746,23925,0,0,0,0,['AIR_DRAGON'],['RIFTHERALD'],900,1
4616131639,12,10,22611,22520,0,0,0,0,['RIFTHERALD'],"['WATER_DRAGON', 'FIRE_DRAGON']",900,0
4628304950,15,13,27100,25129,0,0,-2,0,"['AIR_DRAGON', 'RIFTHERALD']",[],900,0
4578616378,12,7,24391,21787,0,0,0,0,['RIFTHERALD'],"['AIR_DRAGON', 'EARTH_DRAGON']",900,1
4628242492,14,10,26426,23369,0,0,-1,0,['RIFTHERALD'],['EARTH_DRAGON'],900,0
4591817280,14,11,26203,22031,0,0,-1,0,[],['AIR_DRAGON'],900,0
4621320257,17,5,27920,19642,0,0,-1,0,"['RIFTHERALD', 'WATER_DRAGON']",['FIRE_DRAGON'],900,1
4579906625,14,7,26198,23413,-1,0,-1,0,['AIR_DRAGON'],"['FIRE_DRAGON', 'RIFTHERALD']",900,1
4618703936,10,9,22114,24269,-1,0,0,0,[],"['FIRE_DRAGON', 'RIFTHERALD']",900,1
4626049603,17,13,27666,25379,0,0,-1,0,"['WATER_DRAGON', 'RIFTHERALD']",['EARTH_DRAGON'],900,1
4624945737,5,8,21328,21624,0,0,0,0,['AIR_DRAGON'],['FIRE_DRAGON'],900,0
4563864137,6,10,21904,23961,-1,0,0,0,['RIFTHERALD'],['WATER_DRAGON'],900,0
4592352329,16,7,24593,24004,0,0,0,0,['RIFTHERALD'],['FIRE_DRAGON'],900,0
4610814544,15,5,29635,17671,0,0,-5,0,"['RIFTHERALD', 'AIR_DRAGON']",[],900,1
4619812437,9,5,22934,22274,-1,0,0,0,"['WATER_DRAGON', 'EARTH_DRAGON']",['RIFTHERALD'],900,1
4626124886,17,4,28091,20159,0,0,-2,0,['WATER_DRAGON'],['RIFTHERALD'],900,1
4619434584,17,7,25521,19521,0,0,-1,0,"['FIRE_DRAGON', 'RIFTHERALD']",[],900,1
4622361176,3,15,20237,23813,0,0,0,0,[],['EARTH_DRAGON'],900,1
4584374878,6,15,21078,26966,-2,0,0,0,['FIRE_DRAGON'],['EARTH_DRAGON'],900,0
4625225311,15,11,24899,24470,0,0,0,0,['AIR_DRAGON'],['RIFTHERALD'],900,1
4597039714,12,14,24096,26410,-1,0,0,0,[],"['FIRE_DRAGON', 'EARTH_DRAGON']",900,0
4620472823,9,12,23685,24843,0,0,0,0,[],"['AIR_DRAGON', 'RIFTHERALD']",900,1
4623482978,6,12,21962,26530,-1,0,0,0,[],"['FIRE_DRAGON', 'RIFTHERALD']",900,0
4624416869,6,7,21513,21889,0,0,0,0,['RIFTHERALD'],['FIRE_DRAGON'],900,0
4626064491,20,3,28936,18919,0,0,-5,-1,['RIFTHERALD'],[],900,1
4616124012,9,9,24030,23689,0,0,0,0,['RIFTHERALD'],['AIR_DRAGON'],900,0
4625861741,13,9,27548,21493,0,0,-3,0,"['EARTH_DRAGON', 'RIFTHERALD', 'FIRE_DRAGON']",[],900,1
4618160236,11,5,22653,21292,0,0,0,0,[],"['FIRE_DRAGON', 'EARTH_DRAGON']",900,0
4592382062,5,8,21203,23479,0,0,0,0,[],['FIRE_DRAGON'],900,0
4578611311,13,6,27794,19155,0,0,-3,0,[],[],900,1
4626697326,14,7,26027,20208,0,0,-1,0,['FIRE_DRAGON'],['RIFTHERALD'],900,1
4576700024,9,4,25054,20470,0,0,0,0,"['EARTH_DRAGON', 'RIFTHERALD']",['AIR_DRAGON'],900,1
4625587322,13,8,24846,22388,0,0,0,0,['AIR_DRAGON'],[],900,0
4620726396,7,8,21795,22326,0,0,0,0,['RIFTHERALD'],[],900,0
4623529599,8,6,21522,21116,0,0,0,0,['AIR_DRAGON'],['EARTH_DRAGON'],900,0
4618814079,8,12,20428,28595,-4,0,0,0,[],"['AIR_DRAGON', 'RIFTHERALD', 'EARTH_DRAGON']",900,0
4624687745,25,11,28985,22658,0,0,0,0,['AIR_DRAGON'],[],900,1
4615707777,7,12,21581,25435,-1,0,0,0,[],"['EARTH_DRAGON', 'FIRE_DRAGON']",900,0
4623385219,10,2,24223,20175,0,0,0,0,"['WATER_DRAGON', 'EARTH_DRAGON']",[],900,1
4620329092,10,7,24961,22761,-1,0,0,0,['EARTH_DRAGON'],['RIFTHERALD'],900,1
4618605189,9,7,23499,20834,0,0,0,0,['RIFTHERALD'],['AIR_DRAGON'],900,1
4623609994,8,17,23872,27705,0,0,-1,0,[],[],900,0
4622994571,12,8,23430,23581,0,0,0,0,[],"['EARTH_DRAGON', 'RIFTHERALD']",900,0
4589500046,8,11,21914,23468,0,0,0,0,[],"['EARTH_DRAGON', 'RIFTHERALD', 'AIR_DRAGON']",900,0
4619150991,1,13,14557,28960,-5,-1,0,0,[],"['FIRE_DRAGON', 'RIFTHERALD']",900,0
4619668628,13,7,23082,22251,0,0,0,0,[],['FIRE_DRAGON'],900,1
4617925782,13,18,24074,29250,-1,0,0,0,['FIRE_DRAGON'],[],900,0
4626721433,12,14,24067,25124,-2,0,0,0,['WATER_DRAGON'],['RIFTHERALD'],900,0
4604985498,9,6,22329,21078,0,0,0,0,['RIFTHERALD'],['AIR_DRAGON'],900,0
4593829019,13,11,24616,24527,0,0,0,0,[],"['FIRE_DRAGON', 'RIFTHERALD']",900,0
4626721950,8,10,21409,23945,0,0,0,0,['FIRE_DRAGON'],['AIR_DRAGON'],900,0
4617988255,3,7,19928,23419,0,0,0,0,['EARTH_DRAGON'],['RIFTHERALD'],900,1
