matchId,gameDuration,goldRatio,killRatio,deathRatio,damageRatio,tier,lane,blue_team,win
4617914371,1228,0.19413092550790068,0.17857142857142858,0.35714285714285715,0.27544870077685507,BRONZE,MIDDLE SOLO,True,True
4595483701,934,0.19359265004176113,0.19047619047619047,0.0,0.19418825015792798,BRONZE,NONE DUO_SUPPORT,False,True
4614547522,1370,0.1856659586185194,0.26666666666666666,0.38461538461538464,0.25137627187974027,BRONZE,MIDDLE SOLO,True,False
4613208737,1709,0.17990721427030137,0.2857142857142857,0.14285714285714285,0.1377716981538528,BRONZE,MIDDLE SOLO,False,True
4618121910,1228,0.2550013600731967,0.36,0.16666666666666666,0.30377894997115307,BRONZE,MIDDLE SOLO,False,True
4605810411,2163,0.23315235274761434,0.25,0.23529411764705882,0.2623030499412694,BRONZE,MIDDLE SOLO,True,False
4612813110,2101,0.12138051550895587,0.05555555555555555,0.14285714285714285,0.06705426356589148,BRONZE,MIDDLE SOLO,False,False
4569025852,1680,0.20483641536273114,0.18604651162790697,0.20689655172413793,0.24510564165754894,BRONZE,MIDDLE DUO,False,True
4616234311,1392,0.17534203134909848,0.16666666666666666,0.16666666666666666,0.1671525049338234,BRONZE,MIDDLE SOLO,True,True
4618920792,1289,0.23209207400715984,0.5,0.3333333333333333,0.3013392857142857,BRONZE,MIDDLE SOLO,False,False
4618592633,2229,0.13859255939040788,0.04,0.37209302325581395,0.08430922214931098,BRONZE,MIDDLE SOLO,False,False
4620836754,1432,0.20152045079180025,0.2727272727272727,0.2,0.2799263786309257,BRONZE,MIDDLE SOLO,False,False
4606846871,1641,0.19031012781418283,0.22448979591836735,0.3181818181818182,0.19044757123665418,BRONZE,MIDDLE SOLO,True,True
4572371872,1718,0.2320351779103416,0.3617021276595745,0.2727272727272727,0.3221279443832718,BRONZE,MIDDLE SOLO,True,True
4593164378,1179,0.3689069995357714,0.8620689655172413,0.18181818181818182,0.6179980607145521,BRONZE,NONE DUO_SUPPORT,False,True
4625799270,2015,0.18884023633146388,0.23404255319148937,0.3333333333333333,0.17252239385350063,BRONZE,MIDDLE SOLO,False,True
4626909491,1223,0.2167809858031584,0.3333333333333333,0.28,0.2261836487605939,BRONZE,MIDDLE SOLO,False,False
4621082954,2593,0.2703699655718892,0.5111111111111111,0.225,0.4273685784790249,BRONZE,MIDDLE SOLO,True,False
4619493825,2042,0.20456587512606583,0.19230769230769232,0.30434782608695654,0.20462094037223572,BRONZE,MIDDLE SOLO,False,True
4578740673,1323,0.23411127648120586,0.35714285714285715,0.21739130434782608,0.3196421785014763,BRONZE,MIDDLE SOLO,False,False
