matchId,gameDuration,goldRatio,killRatio,deathRatio,damageRatio,tier,lane,blue_team,win
4601887766,2157,0.19999096154135848,0.1794871794871795,0.13636363636363635,0.1580971883993801,BRONZE,TOP SOLO,False,False
4595625528,2156,0.14824897542499518,0.05555555555555555,0.15,0.08309059787994355,BRONZE,BOTTOM DUO_SUPPORT,False,True
4605266430,1471,0.16192392985594753,0.05714285714285714,0.05263157894736842,0.08092067757960746,BRONZE,BOTTOM DUO_SUPPORT,False,True
4567121598,2078,0.12602702748300237,0.0,0.13333333333333333,0.10132149763052169,BRONZE,BOTTOM DUO_SUPPORT,True,False
4562118368,1059,0.1519391769961246,0.0,0.25,0.07791293040392273,BRONZE,NONE DUO_SUPPORT,False,True
4618552051,1353,0.1760227940056985,0.03333333333333333,0.14285714285714285,0.08161722738982215,BRONZE,BOTTOM DUO_SUPPORT,True,True
4562370332,2257,0.1429633042521885,0.029411764705882353,0.13043478260869565,0.037170344911573276,BRONZE,BOTTOM DUO_SUPPORT,True,True
4621064995,1154,0.21494636891155267,0.23076923076923078,0.2,0.20720609327859935,BRONZE,NONE DUO_SUPPORT,False,False
4600884046,938,0.13878453038674032,0.0,0.0,0.0658923590470529,BRONZE,NONE DUO_SUPPORT,True,True
4627488115,1366,0.14839895121498028,0.05263157894736842,0.3157894736842105,0.04295670055980807,BRONZE,BOTTOM DUO_SUPPORT,True,True
4619081110,1813,0.1440366059882622,0.09090909090909091,0.15,0.04566787003610108,BRONZE,BOTTOM DUO_SUPPORT,False,False
4593877054,2020,0.19146996251646237,0.10416666666666667,0.18181818181818182,0.15924803376174948,BRONZE,TOP SOLO,True,True
4627114319,1374,0.2541433476626923,0.4166666666666667,0.21739130434782608,0.3752360717658168,BRONZE,TOP SOLO,False,False
4612028937,2069,0.14446378776440863,0.023255813953488372,0.3142857142857143,0.0784684405067577,BRONZE,BOTTOM DUO_SUPPORT,False,True
4592040479,1267,0.139984130859375,0.0,0.2727272727272727,0.08379259489249398,BRONZE,BOTTOM DUO_SUPPORT,True,False
4618166898,1120,0.1521862443866698,0.0,0.1875,0.08791802589709208,BRONZE,NONE DUO_SUPPORT,True,True
4628007599,1780,0.13930145417127768,0.0,0.21568627450980393,0.07173743098646602,BRONZE,BOTTOM DUO_SUPPORT,False,False
4615248649,1735,0.1916490638009885,0.21739130434782608,0.125,0.21048223881638634,BRONZE,MIDDLE SOLO,False,True
4627931945,1258,0.14358542423973755,0.029411764705882353,0.3333333333333333,0.09483997387328544,BRONZE,BOTTOM DUO_SUPPORT,False,True
