matchId,gameDuration,goldRatio,killRatio,deathRatio,damageRatio,tier,lane,blue_team,win
4603736070,1799,0.2163512564701272,0.2916666666666667,0.19230769230769232,0.2489199392830732,BRONZE,MIDDLE SOLO,True,True
4620294151,1454,0.2366070298858719,0.5454545454545454,0.22580645161290322,0.41391530434163193,BRONZE,TOP SOLO,False,False
4601887766,2157,0.19342301492852085,0.23076923076923078,0.20454545454545456,0.15342963618921113,BRONZE,MIDDLE SOLO,False,False
4587413532,1724,0.15079745198524833,0.1111111111111111,0.275,0.08562445463233563,BRONZE,MIDDLE SOLO,True,False
4606807582,1427,0.224038204846795,0.35714285714285715,0.15151515151515152,0.25221266844661216,BRONZE,MIDDLE SOLO,False,False
4620619301,1231,0.22428157604655335,0.23333333333333334,0.05,0.22632041149165727,BRONZE,MIDDLE SOLO,True,True
4626332725,2533,0.24686978297161938,0.3114754098360656,0.03125,0.19610376254932962,BRONZE,MIDDLE SOLO,False,True
4606746171,1049,0.23126016384891535,0.3157894736842105,0.0,0.347730325006715,BRONZE,NONE DUO_SUPPORT,False,True
4623173704,1369,0.18546410499683744,0.21621621621621623,0.15384615384615385,0.19127915899324738,BRONZE,MIDDLE SOLO,False,True
4626216522,1369,0.2142293737182521,0.0,0.14285714285714285,0.2668737060041408,BRONZE,TOP SOLO,False,False
4616968779,1742,0.22634524175111748,0.3181818181818182,0.22727272727272727,0.2915655275766722,BRONZE,MIDDLE SOLO,False,True
4609475153,1235,0.2339708245376351,0.5,0.10344827586206896,0.18169252836093364,BRONZE,TOP DUO,True,False
4623106145,1317,0.17804920760003504,0.18181818181818182,0.18181818181818182,0.14369662758720508,BRONZE,MIDDLE SOLO,True,True
4609524325,1734,0.21353247341027382,0.23809523809523808,0.09375,0.2898305343278573,BRONZE,MIDDLE SOLO,False,False
4624451697,1231,0.2959209804280227,0.6428571428571429,0.29411764705882354,0.45377003484320555,BRONZE,MIDDLE SOLO,True,False
4626594432,1192,0.16583747927031509,0.2,0.18518518518518517,0.14405298013245033,BRONZE,NONE DUO_SUPPORT,False,False
4622360197,1986,0.1639381537062301,0.10714285714285714,0.2903225806451613,0.17517844372782104,BRONZE,MIDDLE SOLO,True,False
4625045127,1853,0.1977621155417086,0.26666666666666666,0.15384615384615385,0.24799581735796444,BRONZE,MIDDLE SOLO,False,False
4620504712,1713,0.24667869800613162,0.34782608695652173,0.14705882352941177,0.27681438664097624,BRONZE,MIDDLE SOLO,False,False
4626837676,1800,0.2639158738107161,0.5,0.14285714285714285,0.3029216283577956,BRONZE,MIDDLE SOLO,False,False
4618121910,1228,0.20495958853783983,0.16666666666666666,0.28,0.25930210140736454,BRONZE,MIDDLE SOLO,True,False
4576728247,1271,0.18425641655409555,0.13043478260869565,0.2,0.1438029013840446,BRONZE,TOP DUO,True,True
4611099332,1624,0.22599881840336755,0.22727272727272727,0.1,0.2130046646292424,BRONZE,MIDDLE SOLO,False,True
4572220110,1893,0.2114039524864384,0.3125,0.24324324324324326,0.2523396270669638,BRONZE,TOP DUO,True,True
4624264401,2266,0.1807926332775697,0.17142857142857143,0.21951219512195122,0.13237792030593018,BRONZE,MIDDLE SOLO,True,False
4619799250,1757,0.2103950974421437,0.20689655172413793,0.1875,0.2755055461724563,BRONZE,TOP SOLO,True,True
4608610517,2031,0.18963903620648523,0.14285714285714285,0.21212121212121213,0.11450674698083681,BRONZE,MIDDLE SOLO,False,False
4613076184,2586,0.20578034682080926,0.3076923076923077,0.22727272727272727,0.27645321338249773,BRONZE,TOP SOLO,True,True
4622998235,2168,0.20812640437377453,0.23255813953488372,0.1111111111111111,0.16185453746429357,BRONZE,MIDDLE SOLO,False,True
4569665759,1370,0.25060384579190065,0.38461538461538464,0.2727272727272727,0.32519563540174146,BRONZE,MIDDLE DUO_CARRY,True,False
4624810727,1562,0.24722687553764658,0.23809523809523808,0.13043478260869565,0.29763382612948125,BRONZE,TOP SOLO,True,False
4586170610,1240,0.24094971562697481,0.3235294117647059,0.2,0.37901852861936164,BRONZE,MIDDLE SOLO,False,True
4609189619,1012,0.14615041396063655,0.11764705882352941,0.5714285714285714,0.16471275481427766,BRONZE,NONE DUO_SUPPORT,True,True
4612405489,2091,0.23620068372909545,0.3157894736842105,0.21739130434782608,0.24713938421983783,BRONZE,TOP SOLO,False,False
4610810626,938,0.1871148272760585,0.29411764705882354,0.5,0.2851666729302116,BRONZE,NONE DUO_SUPPORT,True,True
4622001929,1567,0.2667758743190969,0.43902439024390244,0.3,0.4306550056807673,BRONZE,TOP SOLO,False,True
4621149971,1293,0.18829187315382173,0.1935483870967742,0.23076923076923078,0.14461341150604617,BRONZE,MIDDLE DUO_CARRY,False,True
4624748318,2594,0.19191036022705873,0.20588235294117646,0.25,0.23751285628455923,BRONZE,TOP SOLO,False,True
4622624031,1461,0.17986465382613223,0.10810810810810811,0.38461538461538464,0.1869966740389323,BRONZE,JUNGLE NONE,True,True
4622275877,1925,0.19141820655254507,0.25,0.29411764705882354,0.24628912003988487,BRONZE,MIDDLE SOLO,True,False
4569025852,1680,0.14993696654059974,0.1724137931034483,0.18604651162790697,0.10282969546464514,BRONZE,MIDDLE SOLO,True,False
4620622146,1548,0.21015923700684846,0.30303030303030304,0.3125,0.30399119735920777,BRONZE,MIDDLE SOLO,True,True
4562175308,1172,0.26249909207563615,0.45161290322580644,0.23076923076923078,0.2778802616132819,BRONZE,NONE DUO_SUPPORT,True,True
4600884046,938,0.13601676698194326,0.0,0.2857142857142857,0.14266345284724313,BRONZE,NONE DUO_SUPPORT,False,False
4610582355,936,0.19914324521993523,0.4,0.25,0.2114089851879055,BRONZE,NONE DUO_SUPPORT,True,False
4618920792,1289,0.1396500384756934,0.0,0.20833333333333334,0.025901280323450133,BRONZE,TOP SOLO,False,False
4617813850,1331,0.18960472892285646,0.2222222222222222,0.14285714285714285,0.3660377358490566,BRONZE,TOP SOLO,False,False
4616302945,1276,0.20457757211338634,0.34782608695652173,0.21052631578947367,0.200338942016705,BRONZE,MIDDLE SOLO,False,False
4626430323,1651,0.1676373404331186,0.10526315789473684,0.19047619047619047,0.27691947565543074,BRONZE,TOP SOLO,True,False
4612643727,1648,0.22698920648695559,0.30612244897959184,0.041666666666666664,0.2463700507318211,BRONZE,TOP SOLO,False,True
4566998931,1842,0.21874189784806844,0.3333333333333333,0.20689655172413793,0.3079878629010539,BRONZE,MIDDLE SOLO,False,True
4615053203,1208,0.16477738652259902,0.034482758620689655,0.42857142857142855,0.1594082776266239,BRONZE,TOP SOLO,False,True
4624501141,1144,0.20897795830595545,0.375,0.36363636363636365,0.36232455276007797,BRONZE,NONE DUO_SUPPORT,True,True
4621925788,2461,0.168591874683045,0.08108108108108109,0.1794871794871795,0.12952367278078897,BRONZE,JUNGLE NONE,False,False
4626674082,1847,0.13058097890966971,0.038461538461538464,0.2926829268292683,0.15266764839148164,BRONZE,MIDDLE SOLO,True,False
